23,20,0
22,20,0
21,21,0
20,30,0
19,35,0
18,42,0
17,43,0
16,43,0
15,41,0
14,40,0
13,44,0
12,45,0
11,45,0
10,45,0
9,43,0
8,37,0
7,36,0
6,32,0
5,31,0
4,30,0
3,31,0
2,36,0
1,37,0
0,27,0
